Original Format,Course Code,Course Code And Number,Course name,Course Number,Subjects
ENGL 38400 - Topics in Restoration and 18th Century Literature ,ENGL,ENGL 38400 , Topics in Restoration and 18th Century Literature ,38400 ,English
ENGL 38500 - Topics in 19th Century Literature ,ENGL,ENGL 38500 , Topics in 19th Century Literature ,38500 ,English
ENGL 38600 - Topics in British and American Literature ,ENGL,ENGL 38600 , Topics in British and American Literature ,38600 ,English
ENGL 38700 - Topics in British and/or Irish Fiction ,ENGL,ENGL 38700 , Topics in British and/or Irish Fiction ,38700 ,English
ENGL 38800 - Topics in Multi-Genre British and/or Irish Literature ,ENGL,ENGL 38800 , Topics in Multi-Genre British and/or Irish Literature ,38800 ,English
ENGL 38900 - One Major Writer  ,ENGL,ENGL 38900 , One Major Writer  ,38900 ,English
ENGL 39000 - Topics in 20th Century Literature  ,ENGL,ENGL 39000 , Topics in 20th Century Literature  ,39000 ,English
ENGL 39100 - Topics in British and/ or Irish Poetry ,ENGL,ENGL 39100 , Topics in British and/ or Irish Poetry ,39100 ,English
ENGL 39200 - Topics in American Poetry ,ENGL,ENGL 39200 , Topics in American Poetry ,39200 ,English
ENGL 39400 - World Literature: Drama ,ENGL,ENGL 39400 , World Literature: Drama ,39400 ,English
ENGL 39500 - Survey of American Literature: Origins to the Civil War  ,ENGL,ENGL 39500 , Survey of American Literature: Origins to the Civil War  ,39500 ,English
ENGL 39600 - American Prose from Reconstruction to World War I ,ENGL,ENGL 39600 , American Prose from Reconstruction to World War I ,39600 ,English
ENGL 39700 - Pre-20th Century American Poetry ,ENGL,ENGL 39700 , Pre-20th Century American Poetry ,39700 ,English
ENGL 39800 - Topics in American Fiction ,ENGL,ENGL 39800 , Topics in American Fiction ,39800 ,English
ENGL 39900 - Topics in American Multi-Genre Literature  ,ENGL,ENGL 39900 , Topics in American Multi-Genre Literature  ,39900 ,English
ENGL 48200 - Special Studies Seminar ,ENGL,ENGL 48200 , Special Studies Seminar ,48200 ,English
ENGL 48300 - Special Studies Seminar ,ENGL,ENGL 48300 , Special Studies Seminar ,48300 ,English
ENGL 48400 - Special Studies Seminar ,ENGL,ENGL 48400 , Special Studies Seminar ,48400 ,English
ENGL 48469 - Advanced Poetry Writing ,ENGL,ENGL 48469 , Advanced Poetry Writing ,48469 ,English
ENGL 48476 - Narrative Forms: Strategies in Fiction Writing ,ENGL,ENGL 48476 , Narrative Forms: Strategies in Fiction Writing ,48476 ,English
"ENGL 48483 - Character, Class, Conflict in Contemporary Firction ",ENGL,ENGL 48483 ," Character, Class, Conflict in Contemporary Firction ",48483 ,English
ENGL 48491 - Creative Non-Fiction ,ENGL,ENGL 48491 , Creative Non-Fiction ,48491 ,English
ENGL 48500 - Individual Tutorial Project ,ENGL,ENGL 48500 , Individual Tutorial Project ,48500 ,English
ENGL 49000 - Advanced Topics Seminar ,ENGL,ENGL 49000 , Advanced Topics Seminar ,49000 ,English
ENGL 49400 - Honors Seminar: Special Studies ,ENGL,ENGL 49400 , Honors Seminar: Special Studies ,49400 ,English
ENGL 49800 - Internship ,ENGL,ENGL 49800 , Internship ,49800 ,English
ENGL 12000 - Expository Writing ,ENGL,ENGL 12000 , Expository Writing ,12000 ,English
ENGL 20100 - Intermediate Expository Writing Using Small-Group Methods ,ENGL,ENGL 20100 , Intermediate Expository Writing Using Small-Group Methods ,20100 ,English
ENGL 21800 - Advanced Expository Writing ,ENGL,ENGL 21800 , Advanced Expository Writing ,21800 ,English
ENGL 30000 - Introduction to Creative Writing ,ENGL,ENGL 30000 , Introduction to Creative Writing ,30000 ,English
ENGL 30100 - Theory and Practice of Expository Writing ,ENGL,ENGL 30100 , Theory and Practice of Expository Writing ,30100 ,English
ENGL 30800 - Workshop in Non-Fiction I ,ENGL,ENGL 30800 , Workshop in Non-Fiction I ,30800 ,English
ENGL 30900 - Workshop in Non-Fiction II ,ENGL,ENGL 30900 , Workshop in Non-Fiction II ,30900 ,English
ENGL 31100 - Workshop in Fiction I ,ENGL,ENGL 31100 , Workshop in Fiction I ,31100 ,English
ENGL 31300 - Workshop in Fiction II ,ENGL,ENGL 31300 , Workshop in Fiction II ,31300 ,English
ENGL 31400 - Workshop in Poetry I ,ENGL,ENGL 31400 , Workshop in Poetry I ,31400 ,English
ENGL 31600 - Workshop in Poetry II ,ENGL,ENGL 31600 , Workshop in Poetry II ,31600 ,English
ENGL 48455 - Advanced Prose Writing ,ENGL,ENGL 48455 , Advanced Prose Writing ,48455 ,English
FILM 10100 - Introduction to Cinema ,FILM,FILM 10100 , Introduction to Cinema ,10100 ,Film and Media
FILMP 15000 - Media & Film in a Digital Age I ,FILMP,FILMP 15000 , Media & Film in a Digital Age I ,15000 ,Film and Media
FILMP 16000 - Media & Film in a Digital Age II ,FILMP,FILMP 16000 , Media & Film in a Digital Age II ,16000 ,Film and Media
FILM 20100 - Practical Film Analysis ,FILM,FILM 20100 , Practical Film Analysis ,20100 ,Film and Media
FILM 21100 - Film History I: 1895-1942 ,FILM,FILM 21100 , Film History I: 1895-1942 ,21100 ,Film and Media
FILM 21200 - Film History II: Since 1942 ,FILM,FILM 21200 , Film History II: Since 1942 ,21200 ,Film and Media
FILM 21300 - National Cinema ,FILM,FILM 21300 , National Cinema ,21300 ,Film and Media
FILM 21305 - National Cinema: Italian Cinema ,FILM,FILM 21305 , National Cinema: Italian Cinema ,21305 ,Film and Media
FILM 21344 - Israeli Cinema ,FILM,FILM 21344 , Israeli Cinema ,21344 ,Film and Media
FILM 21351 - National Cinema: French New Wave ,FILM,FILM 21351 , National Cinema: French New Wave ,21351 ,Film and Media
FILM 21355 - National Cinema: Asian Cinema ,FILM,FILM 21355 , National Cinema: Asian Cinema ,21355 ,Film and Media
FILM 21400 - Multicultural Perspectives in Cinema ,FILM,FILM 21400 , Multicultural Perspectives in Cinema ,21400 ,Film and Media
FILM 21500 - Women and Film ,FILM,FILM 21500 , Women and Film ,21500 ,Film and Media
FILM 22200 - Topics in Genre Studies ,FILM,FILM 22200 , Topics in Genre Studies ,22200 ,Film and Media
FILM 22252 - Topics in Genre Studies: “The Woman's Film” of the 1940s ,FILM,FILM 22252 , Topics in Genre Studies: “The Woman's Film” of the 1940s ,22252 ,Film and Media
FILM 22400 - Cinematic Space ,FILM,FILM 22400 , Cinematic Space ,22400 ,Film and Media
FILM 23000 - Movies in American Culture ,FILM,FILM 23000 , Movies in American Culture ,23000 ,Film and Media
FILM 23100 - Studies of Selected Directors ,FILM,FILM 23100 , Studies of Selected Directors ,23100 ,Film and Media
FILM 23200 - Experimental Film and Video ,FILM,FILM 23200 , Experimental Film and Video ,23200 ,Film and Media
FILMP 25100 - Film Production I ,FILMP,FILMP 25100 , Film Production I ,25100 ,Film and Media
FILMP 28600 - Location Sound ,FILMP,FILMP 28600 , Location Sound ,28600 ,Film and Media
FILPL 27600 - Screen Writing I - The Short  ,FILPL,FILPL 27600 , Screen Writing I - The Short  ,27600 ,Film and Media
Media 23000 - Movies in American Culture ,Media,Media 23000 , Movies in American Culture ,23000 ,Film and Media
FILM 31500 - Nonfiction Film and Video ,FILM,FILM 31500 , Nonfiction Film and Video ,31500 ,Film and Media
FILM 32200 - Contemporary Film Theory ,FILM,FILM 32200 , Contemporary Film Theory ,32200 ,Film and Media
FILM 32300 - Film Technology and Aesthetic Theory ,FILM,FILM 32300 , Film Technology and Aesthetic Theory ,32300 ,Film and Media
FILM 32351 - Aesthetics of Film Sound ,FILM,FILM 32351 , Aesthetics of Film Sound ,32351 ,Film and Media
FILM 32400 - Narrative Strategies ,FILM,FILM 32400 , Narrative Strategies ,32400 ,Film and Media
FILM 32600 - America in American Film and Video ,FILM,FILM 32600 , America in American Film and Video ,32600 ,Film and Media
FILM 32700 - Representations of Race and Ethnicity in U.S. Media ,FILM,FILM 32700 , Representations of Race and Ethnicity in U.S. Media ,32700 ,Film and Media
FILM 32800 - Images of Resistance in the Developing World ,FILM,FILM 32800 , Images of Resistance in the Developing World ,32800 ,Film and Media
FILM 33200 - Myths and Images in the Media ,FILM,FILM 33200 , Myths and Images in the Media ,33200 ,Film and Media
FILM 33300 - Styles and Theories of Film Acting ,FILM,FILM 33300 , Styles and Theories of Film Acting ,33300 ,Film and Media
FILM 33400 - Theatricality and the Presentation of Self ,FILM,FILM 33400 , Theatricality and the Presentation of Self ,33400 ,Film and Media
FILM 34400 - History of Cinematography ,FILM,FILM 34400 , History of Cinematography ,34400 ,Film and Media
FILM 39100 - Problems in Film Research ,FILM,FILM 39100 , Problems in Film Research ,39100 ,Film and Media
FILM 39700 - Topics in Film History ,FILM,FILM 39700 , Topics in Film History ,39700 ,Film and Media
FILMP 31100 - Directing Documentary Video Production ,FILMP,FILMP 31100 , Directing Documentary Video Production ,31100 ,Film and Media
FILMP 34100 - Producing the Film ,FILMP,FILMP 34100 , Producing the Film ,34100 ,Film and Media
FILMP 35200 - Film Production II ,FILMP,FILMP 35200 , Film Production II ,35200 ,Film and Media
FILMP 37100 - Screen Directing I ,FILMP,FILMP 37100 , Screen Directing I ,37100 ,Film and Media
FILMP 37200 - Screen Directing II ,FILMP,FILMP 37200 , Screen Directing II ,37200 ,Film and Media
FILMP 38100 - Techniques of Cinematography ,FILMP,FILMP 38100 , Techniques of Cinematography ,38100 ,Film and Media
FILMP 38200 - Narrative Editing ,FILMP,FILMP 38200 , Narrative Editing ,38200 ,Film and Media
FILMP 38300 - Sound Design ,FILMP,FILMP 38300 , Sound Design ,38300 ,Film and Media
FILMP 38400 - Film and Video Production ,FILMP,FILMP 38400 , Film and Video Production ,38400 ,Film and Media
FILPL 31600 - Experimental Production ,FILPL,FILPL 31600 , Experimental Production ,31600 ,Film and Media
FILPL 37700 - Screen Writing II The Feature  ,FILPL,FILPL 37700 , Screen Writing II The Feature  ,37700 ,Film and Media
MEDIA 36300 - Concepts in Gaming ,MEDIA,MEDIA 36300 , Concepts in Gaming ,36300 ,Film and Media
FILM 29900 - Special Topics in Film ,FILM,FILM 29900 , Special Topics in Film ,29900 ,Film and Media
FILM 39900 - Studies in Film ,FILM,FILM 39900 , Studies in Film ,39900 ,Film and Media
FILM 40100 - Independent Research ,FILM,FILM 40100 , Independent Research ,40100 ,Film and Media
FILM 40200 - Honors Project ,FILM,FILM 40200 , Honors Project ,40200 ,Film and Media
FILM 49800 - Internship ,FILM,FILM 49800 , Internship ,49800 ,Film and Media
FILM 49900 - Advanced Seminar ,FILM,FILM 49900 , Advanced Seminar ,49900 ,Film and Media
FILMP 39900 - Special Topics in Advanced Film Practice ,FILMP,FILMP 39900 , Special Topics in Advanced Film Practice ,39900 ,Film and Media
FILMP 45100 - Film and Video Production Seminar ,FILMP,FILMP 45100 , Film and Video Production Seminar ,45100 ,Film and Media
FILMP 49800 - Internship ,FILMP,FILMP 49800 , Internship ,49800 ,Film and Media
MEDP 29900 - Special Topics in Media Production ,MEDP,MEDP 29900 , Special Topics in Media Production ,29900 ,Film and Media
MEDIA 18000 - Introduction to Media Studies ,MEDIA,MEDIA 18000 , Introduction to Media Studies ,18000 ,Film and Media
MEDIA 21000 - Journalism and Society ,MEDIA,MEDIA 21000 , Journalism and Society ,21000 ,Film and Media
MEDIA 21100 - News Literacy in a Digital Age  ,MEDIA,MEDIA 21100 , News Literacy in a Digital Age  ,21100 ,Film and Media
MEDIA 26000 - Internet and Society ,MEDIA,MEDIA 26000 , Internet and Society ,26000 ,Film and Media
MEDIA 27100 - Television Culture ,MEDIA,MEDIA 27100 , Television Culture ,27100 ,Film and Media
MEDIA 28000 - Understanding New Media ,MEDIA,MEDIA 28000 , Understanding New Media ,28000 ,Film and Media
MEDIA 29800 - Special Topics in Media Studies ,MEDIA,MEDIA 29800 , Special Topics in Media Studies ,29800 ,Film and Media
MEDIA 29853 - The Horror Film ,MEDIA,MEDIA 29853 , The Horror Film ,29853 ,Film and Media
MEDIA 29900 - Special Topics in Media Studies ,MEDIA,MEDIA 29900 , Special Topics in Media Studies ,29900 ,Film and Media
MEDIA 31300 - The Culture of Publicity ,MEDIA,MEDIA 31300 , The Culture of Publicity ,31300 ,Film and Media
MEDIA 31400 - Public Relations: Theory and Practice  ,MEDIA,MEDIA 31400 , Public Relations: Theory and Practice  ,31400 ,Film and Media
MEDIA 31500 - Nonfiction Film and Video ,MEDIA,MEDIA 31500 , Nonfiction Film and Video ,31500 ,Film and Media
MEDIA 32600 - America in American Film and Video ,MEDIA,MEDIA 32600 , America in American Film and Video ,32600 ,Film and Media
MEDIA 32700 - Representations of Race and Ethnicity in U.S. Media ,MEDIA,MEDIA 32700 , Representations of Race and Ethnicity in U.S. Media ,32700 ,Film and Media
MEDIA 32800 - Images of Resistance in the Developing World ,MEDIA,MEDIA 32800 , Images of Resistance in the Developing World ,32800 ,Film and Media
MEDIA 33200 - Myths and Images in the Media ,MEDIA,MEDIA 33200 , Myths and Images in the Media ,33200 ,Film and Media
MEDIA 33300 - Typecasting ,MEDIA,MEDIA 33300 , Typecasting ,33300 ,Film and Media
MEDIA 36500 - Digital Copyright ,MEDIA,MEDIA 36500 , Digital Copyright ,36500 ,Film and Media
MEDIA 37000 - The Press and the Public ,MEDIA,MEDIA 37000 , The Press and the Public ,37000 ,Film and Media
MEDIA 37300 - Journalism as Literature ,MEDIA,MEDIA 37300 , Journalism as Literature ,37300 ,Film and Media
"MEDIA 37400 - Media, Sports, and Society ",MEDIA,MEDIA 37400 ," Media, Sports, and Society ",37400 ,Film and Media
MEDIA 37500 - Media and Politics ,MEDIA,MEDIA 37500 , Media and Politics ,37500 ,Film and Media
MEDIA 38000 - History of Broadcasting ,MEDIA,MEDIA 38000 , History of Broadcasting ,38000 ,Film and Media
MEDIA 38100 - Propaganda and the Mass Media ,MEDIA,MEDIA 38100 , Propaganda and the Mass Media ,38100 ,Film and Media
MEDIA 38300 - Popular Music and the Music Industry ,MEDIA,MEDIA 38300 , Popular Music and the Music Industry ,38300 ,Film and Media
MEDIA 38400 - Women and Media ,MEDIA,MEDIA 38400 , Women and Media ,38400 ,Film and Media
MEDIA 38600 - Media Ethics ,MEDIA,MEDIA 38600 , Media Ethics ,38600 ,Film and Media
MEDIA 39000 - Broadcast Journalism ,MEDIA,MEDIA 39000 , Broadcast Journalism ,39000 ,Film and Media
MEDIA 39100 - History of Print Journalism ,MEDIA,MEDIA 39100 , History of Print Journalism ,39100 ,Film and Media
MEDIA 39300 - Media Criticism ,MEDIA,MEDIA 39300 , Media Criticism ,39300 ,Film and Media
MEDIA 39400 - Mass Communications and the Law ,MEDIA,MEDIA 39400 , Mass Communications and the Law ,39400 ,Film and Media
MEDIA 39500 - Mass Media in Developing Countries ,MEDIA,MEDIA 39500 , Mass Media in Developing Countries ,39500 ,Film and Media
MEDIA 39600 - Global Communication ,MEDIA,MEDIA 39600 , Global Communication ,39600 ,Film and Media
MEDIA 39700 - Cult TV and its Audiences ,MEDIA,MEDIA 39700 , Cult TV and its Audiences ,39700 ,Film and Media
MEDIA 39800 - Complex Television Narratives  ,MEDIA,MEDIA 39800 , Complex Television Narratives  ,39800 ,Film and Media
MEDIA 39900 - Special Issues in Media Studies ,MEDIA,MEDIA 39900 , Special Issues in Media Studies ,39900 ,Film and Media
MEDIA 49900 - Advanced Seminar ,MEDIA,MEDIA 49900 , Advanced Seminar ,49900 ,Film and Media
MEDP 15000 - Media and Film in a Digital Age Pt. 1 ,MEDP,MEDP 15000 , Media and Film in a Digital Age Pt. 1 ,15000 ,Film and Media
MEDP 16000 - Media and Film in a Digital Age Pt. 2 ,MEDP,MEDP 16000 , Media and Film in a Digital Age Pt. 2 ,16000 ,Film and Media
MEDP 25000 - Digital Design and Usability ,MEDP,MEDP 25000 , Digital Design and Usability ,25000 ,Film and Media
MEDP 26000 - Introduction to 2D Animation ,MEDP,MEDP 26000 , Introduction to 2D Animation ,26000 ,Film and Media
MEDP 28100 - Documentary Video Production 1 ,MEDP,MEDP 28100 , Documentary Video Production 1 ,28100 ,Film and Media
MEDP 28200 - Studio Television Production ,MEDP,MEDP 28200 , Studio Television Production ,28200 ,Film and Media
MEDP 28500 - Web Production I ,MEDP,MEDP 28500 , Web Production I ,28500 ,Film and Media
MEDP 28600 - Location Sound ,MEDP,MEDP 28600 , Location Sound ,28600 ,Film and Media
MEDP 31000 - Advanced TV Studio Production ,MEDP,MEDP 31000 , Advanced TV Studio Production ,31000 ,Film and Media
MEDP 31100 - Documentary Video Production 2 ,MEDP,MEDP 31100 , Documentary Video Production 2 ,31100 ,Film and Media
